Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Patrick Baldwin Jr.,https://www.spotrac.com/nba/player/_/id/78139,patrick-baldwin,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,22,SF,$2448840,UFA,,,
Patrick Williams,https://www.spotrac.com/nba/player/_/id/70646,patrick-williams,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,23,PF,$18000000,$18000000,$18000000,$18000000,$18000000
Patty Mills,https://www.spotrac.com/nba/player/_/id/6322,patty-mills,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,36,PG,$2087519,UFA,,,
Paul George,https://www.spotrac.com/nba/player/_/id/6892,paul-george,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,34,SG,$49205800,$51666090,$54126380,$56586670,UFA
Paul Reed,https://www.spotrac.com/nba/player/_/id/70700,paul-reed,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,25,C,$7723000,$8109150,UFA,,
Payton Pritchard,https://www.spotrac.com/nba/player/_/id/70668,payton-pritchard,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,27,PG,$6696429,$7232143,$7767857,$8303571,UFA
Pelle Larsson,https://www.spotrac.com/nba/player/_/id/91787,pelle-larsson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,23,SG,$1157153,$1955378,$2296271,RFA,
Pete Nance,https://www.spotrac.com/nba/player/_/id/86006,pete-nance,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,24,PF,Two-Way,RFA,,,
Peyton Watson,https://www.spotrac.com/nba/player/_/id/78138,peyton-watson,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,22,SG,$2413560,$4356476,RFA,,
P.J. Dozier,https://www.spotrac.com/nba/player/_/id/23668,pj-dozier,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,28,PG,$2087519,UFA,,,
P.J. Hall,https://www.spotrac.com/nba/player/_/id/94515,pj-hall,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,22,PF,Two-Way,RFA,,,
P.J. Tucker,https://www.spotrac.com/nba/player/_/id/11059,pj-tucker,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,39,PF,$11539000,UFA,,,
PJ Washington,https://www.spotrac.com/nba/player/_/id/31569,pj-washington,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,26,PF,$15500000,$14152174,UFA,,
Precious Achiuwa,https://www.spotrac.com/nba/player/_/id/70662,precious-achiuwa,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,25,PF,$6000000,UFA,,,
Quentin Grimes,https://www.spotrac.com/nba/player/_/id/74132,quentin-grimes,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,24,SG,$4296682,RFA,,,
Quenton Jackson,https://www.spotrac.com/nba/player/_/id/79955,quenton-jackson,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,26,G,Two-Way,RFA,,,
Quincy Olivari,https://www.spotrac.com/nba/player/_/id/95655,quincy-olivari,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,23,G,Two-Way,RFA,,,
Quinten Post,https://www.spotrac.com/nba/player/_/id/93959,quinten-post,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,24,C,Two-Way,RFA,,,
Rayan Rupert,https://www.spotrac.com/nba/player/_/id/82212,rayan-rupert,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,20,SG,$1891857,$2221677,RFA,,
Reece Beekman,https://www.spotrac.com/nba/player/_/id/94484,reece-beekman,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,23,PG,Two-Way,RFA,,,
Reed Sheppard,https://www.spotrac.com/nba/player/_/id/91739,reed-sheppard,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,20,SG,$10098960,$10603560,$11108880,$14041625,RFA
Reggie Jackson,https://www.spotrac.com/nba/player/_/id/8075,reggie-jackson,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,34,PG,$2087519,UFA,,,
Richaun Holmes,https://www.spotrac.com/nba/player/_/id/17865,richaun-holmes,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,31,C,$12648321,$13280737,UFA,,
Ricky Council IV,https://www.spotrac.com/nba/player/_/id/84718,ricky-council,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,23,G,$1891857,$2221677,$2406205,UFA,
Riley Minix,https://www.spotrac.com/nba/player/_/id/95269,riley-minix,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,24,SF,Two-Way,RFA,,,
R.J. Barrett,https://www.spotrac.com/nba/player/_/id/31560,rj-barrett,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,24,SG,$25794643,$27705357,$29616071,UFA,
Rob Dillingham,https://www.spotrac.com/nba/player/_/id/91736,rob-dillingham,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,20,PG,$6262920,$6576120,$6889320,$8763216,RFA
Robert Williams III,https://www.spotrac.com/nba/player/_/id/26993,robert-williams,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,27,C,$12428571,$13285713,UFA,,
Ron Holland II,https://www.spotrac.com/nba/player/_/id/91751,ron-holland,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,19,SF,$8245320,$8657280,$9069600,$11491183,RFA
Royce O'Neale,https://www.spotrac.com/nba/player/_/id/24240,royce-oneale,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,31,SF,$9875000,$10625000,$11375000,$12125000,UFA
Rudy Gobert,https://www.spotrac.com/nba/player/_/id/13340,rudy-gobert,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,32,C,$43827587,$35000000,$36500000,$38000000,UFA
Rui Hachimura,https://www.spotrac.com/nba/player/_/id/31566,rui-hachimura,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,26,PF,$17000000,$18259259,UFA,,
Russell Westbrook,https://www.spotrac.com/nba/player/_/id/6141,russell-westbrook,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,36,PG,$3303771,$3468960,UFA,,
Ryan Dunn,https://www.spotrac.com/nba/player/_/id/91771,ryan-dunn,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,22,SF,$2530800,$2657760,$2784240,$5025553,RFA
Ryan Rollins,https://www.spotrac.com/nba/player/_/id/78155,ryan-rollins,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,22,SG,Two-Way,RFA,,,
Saddiq Bey,https://www.spotrac.com/nba/player/_/id/70661,saddiq-bey,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,25,SF,$6440678,$6118644,$6440678,UFA,
Sam Hauser,https://www.spotrac.com/nba/player/_/id/74311,sam-hauser,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,27,SF,$2092344,$10044644,$10848215,$11651785,$12455356
Sam Merrill,https://www.spotrac.com/nba/player/_/id/70702,sam-merrill,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,28,SG,$2164993,UFA,,,
Sandro Mamukelashvili,https://www.spotrac.com/nba/player/_/id/74161,sandro-mamukelashvili,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,25,C,$2087519,UFA,,,
Santi Aldama,https://www.spotrac.com/nba/player/_/id/74137,santi-aldama,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,24,C,$3960531,RFA,,,
Scoot Henderson,https://www.spotrac.com/nba/player/_/id/82198,scoot-henderson,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,20,PG,$10259160,$10748040,$13585523,RFA,
Scottie Barnes,https://www.spotrac.com/nba/player/_/id/74111,scottie-barnes,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,23,PF,$10130980,$38661700,$41754636,$44847572,$47940508
Scotty Pippen Jr.,https://www.spotrac.com/nba/player/_/id/78256,scotty-pippen,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,24,PG,$2087519,$2270735,$2461462,$2789215,UFA
Seth Curry,https://www.spotrac.com/nba/player/_/id/13512,seth-curry,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,34,SG,$2087519,UFA,UFA,,
Seth Lundy,https://www.spotrac.com/nba/player/_/id/84472,seth-lundy,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,24,SG,Two-Way,RFA,,,
Shaedon Sharpe,https://www.spotrac.com/nba/player/_/id/78113,shaedon-sharpe,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,21,SG,$6614160,$8399983,RFA,,
Shai Gilgeous-Alexander,https://www.spotrac.com/nba/player/_/id/26977,shai-gilgeous-alexander,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,26,PG,$35859950,$38333050,$40806150,UFA,
Shake Milton,https://www.spotrac.com/nba/player/_/id/27020,shake-milton,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,28,SG,$2875000,$3000000,$3287406,UFA,
Sidy Cissoko,https://www.spotrac.com/nba/player/_/id/84471,sidy-cissoko,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,20,SG,$1891857,$2221677,RFA,,
Simone Fontecchio,https://www.spotrac.com/nba/player/_/id/78654,simone-fontecchio,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,29,SF,$7692308,$8307692,UFA,,
Spencer Dinwiddie,https://www.spotrac.com/nba/player/_/id/15390,spencer-dinwiddie,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly,31,PG,$2087519,UFA,,,
Spencer Jones,https://www.spotrac.com/nba/player/_/id/95438,spencer-jones,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,23,SF,Two-Way,RFA,,,
Stanley Umude,https://www.spotrac.com/nba/player/_/id/79976,stanley-umude,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,25,G,Two-Way,RFA,,,
Stephen Curry,https://www.spotrac.com/nba/player/_/id/6287,stephen-curry,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,36,PG,$55761216,$59606817,$62587158,UFA,
Stephon Castle,https://www.spotrac.com/nba/player/_/id/91750,stephon-castle,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,20,PG,$9105120,$9560520,$10015920,$12670139,RFA
Steven Adams,https://www.spotrac.com/nba/player/_/id/13325,steven-adams,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,31,C,$12600000,UFA,,,
Sviatoslav Mykhailiuk,https://www.spotrac.com/nba/player/_/id/27013,sviatoslav-mykhailiuk,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,27,SG,$3500000,$3675000,$3850000,$4025000,UFA
Taj Gibson,https://www.spotrac.com/nba/player/_/id/6278,taj-gibson,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,39,C,$3303771,UFA,,,
Talen Horton-Tucker,https://www.spotrac.com/nba/player/_/id/31605,talen-horton-tucker,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,24,SG,$2087519,UFA,,,
Tari Eason,https://www.spotrac.com/nba/player/_/id/78123,tari-eason,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,23,PF,$3695160,$5675766,RFA,,
Taurean Prince,https://www.spotrac.com/nba/player/_/id/20217,taurean-prince,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,30,PF,$2087519,UFA,,,
Taylor Hendricks,https://www.spotrac.com/nba/player/_/id/82205,taylor-hendricks,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,21,PF,$5848680,$6127080,$7805900,UFA,
Taze Moore,https://www.spotrac.com/nba/player/_/id/86067,taze-moore,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,26,SF,Two-Way,RFA,,,
Terance Mann,https://www.spotrac.com/nba/player/_/id/31607,terance-mann,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,28,SG,$11423077,$15500000,$15500000,$16000000,UFA
Terrence Shannon Jr.,https://www.spotrac.com/nba/player/_/id/91774,terrence-shannon,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly,24,SG,$2546640,$2674080,$2801640,$5054159,RFA
Terry Rozier,https://www.spotrac.com/nba/player/_/id/17844,terry-rozier,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,30,PG,$24924126,$26643031,UFA,,
Thomas Bryant,https://www.spotrac.com/nba/player/_/id/23643,thomas-bryant,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,27,C,$2087519,UFA,,,
Tidjane Salaun,https://www.spotrac.com/nba/player/_/id/91756,tidjane-salaun,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,19,PF,$7488720,$7863240,$8237880,$10445633,RFA
Tim Hardaway Jr.,https://www.spotrac.com/nba/player/_/id/13337,tim-hardaway,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,32,SG,$16193183,UFA,,,
T.J. McConnell,https://www.spotrac.com/nba/player/_/id/18252,tj-mcconnell,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,32,PG,$9300000,$10200000,$11000000,$11800000,$11800000
Tobias Harris,https://www.spotrac.com/nba/player/_/id/8070,tobias-harris,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,32,PF,$25365854,$26634146,UFA,,
Torrey Craig,https://www.spotrac.com/nba/player/_/id/24230,torrey-craig,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,34,SF,$2845342,UFA,,,
Toumani Camara,https://www.spotrac.com/nba/player/_/id/84478,toumani-camara,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly,24,PF,$1891857,$2221677,$2406205,UFA,
Trae Young,https://www.spotrac.com/nba/player/_/id/26971,trae-young,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,26,PG,$43031940,$45999660,$48967380,UFA,
Trayce Jackson-Davis,https://www.spotrac.com/nba/player/_/id/84443,trayce-jackson-davis,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,24,PF,$1891857,$2221677,$2406205,UFA,
Tre Jones,https://www.spotrac.com/nba/player/_/id/70683,tre-jones,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,25,PG,$9104167,UFA,,,
Tre Mann,https://www.spotrac.com/nba/player/_/id/74125,tre-mann,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,23,PG,$4908373,RFA,,,
Trendon Watford,https://www.spotrac.com/nba/player/_/id/74232,trendon-watford,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,24,PF,$2726603,UFA,,,
Trentyn Flowers,https://www.spotrac.com/nba/player/_/id/95276,trentyn-flowers,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly,19,F,Two-Way,RFA,,,
Trevelin Queen,https://www.spotrac.com/nba/player/_/id/70720,trevelin-queen,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,27,SG,Two-Way,RFA,,,
Trey Alexander,https://www.spotrac.com/nba/player/_/id/94483,trey-alexander,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,21,SG,Two-Way,RFA,,,
Trey Jemison,https://www.spotrac.com/nba/player/_/id/86044,trey-jemison,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly,25,PF,Two-Way,RFA,,,
Trey Lyles,https://www.spotrac.com/nba/player/_/id/17840,trey-lyles,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,29,PF,$8000000,UFA,,,
Trey Murphy III,https://www.spotrac.com/nba/player/_/id/74124,trey-murphy,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly,24,SF,$5159855,$25000000,$27000000,$29000000,$31000000
Tristan Da Silva,https://www.spotrac.com/nba/player/_/id/91759,tristan-da-silva,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,23,SF,$3628440,$3809520,$3991200,$6138466,RFA
Tristan Thompson,https://www.spotrac.com/nba/player/_/id/8054,tristan-thompson,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,33,C,$2087519,UFA,,,
Tristan Vukcevic,https://www.spotrac.com/nba/player/_/id/84470,tristan-vukcevic,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,21,C,Two-Way,RFA,,,
Tristen Newton,https://www.spotrac.com/nba/player/_/id/93957,tristen-newton,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,23,PG,Two-Way,RFA,,,
Ty Jerome,https://www.spotrac.com/nba/player/_/id/31582,ty-jerome,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly,27,SG,$2560975,UFA,,,
Tyler Herro,https://www.spotrac.com/nba/player/_/id/31570,tyler-herro,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,25,SG,$29000000,$31000000,$33000000,UFA,
Tyler Kolek,https://www.spotrac.com/nba/player/_/id/91769,tyler-kolek,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,23,PG,$2087519,$2191897,$2296271,$2486995,RFA
Tyler Smith,https://www.spotrac.com/nba/player/_/id/91762,tyler-smith,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,20,SF,$1157153,$1955377,$2296271,$2486995,UFA
Tyrese Haliburton,https://www.spotrac.com/nba/player/_/id/70654,tyrese-haliburton,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,24,PG,$42176400,$45550512,$48924624,$52298736,$55672848
Tyrese Martin,https://www.spotrac.com/nba/player/_/id/78162,tyrese-martin,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,25,SF,Two-Way,RFA,,,
Tyrese Maxey,https://www.spotrac.com/nba/player/_/id/70663,tyrese-maxey,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,24,PG,$35147000,$37958760,$40770520,$43582280,$46394040
TyTy Washington Jr.,https://www.spotrac.com/nba/player/_/id/78125,tyty-washington,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,23,PG,Two-Way,RFA,,,
Tyus Jones,https://www.spotrac.com/nba/player/_/id/17852,tyus-jones,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly,28,PG,$2087519,UFA,,,
Ulrich Chomche,https://www.spotrac.com/nba/player/_/id/91781,ulrich-chomche,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,19,PF,Two-Way,Two-Way,RFA,,
Vasilije Micic,https://www.spotrac.com/nba/player/_/id/15404,vasilije-micic,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly,31,PG,$7723000,$8109150,UFA,,
Victor Wembanyama,https://www.spotrac.com/nba/player/_/id/82196,victor-wembanyama,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,21,C,$12768960,$13376880,$16868246,RFA,
Vincent Williams Jr.,https://www.spotrac.com/nba/player/_/id/78158,vincent-williams,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,24,SF,$2120693,$2301587,$2489752,UFA,
Vit Krejci,https://www.spotrac.com/nba/player/_/id/70679,vit-krejci,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,24,PG,$2162606,$2349578,$2667944,$3005085,UFA
Vlatko Cancar,https://www.spotrac.com/nba/player/_/id/23650,vlatko-cancar,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,27,PF,$2087519,UFA,,,
Walker Kessler,https://www.spotrac.com/nba/player/_/id/78133,walker-kessler,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,23,C,$2965920,$4878938,RFA,,
Wendell Carter Jr.,https://www.spotrac.com/nba/player/_/id/26973,wendell-carter,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,25,C,$11950000,$10850000,$18102000,$19550160,$20998320
Wendell Moore Jr.,https://www.spotrac.com/nba/player/_/id/78145,wendell-moore,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly,23,SG,$2537040,UFA,,,
Xavier Tillman,https://www.spotrac.com/nba/player/_/id/70677,xavier-tillman,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,26,C,$2237691,$2546675,UFA,,
Yongxi Cui,https://www.spotrac.com/nba/player/_/id/95593,yongxi-cui,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,21,G,Two-Way,Two-Way,RFA,,
Yuki Kawamura,https://www.spotrac.com/nba/player/_/id/95565,yuki-kawamura,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,23,G,Two-Way,RFA,,,
Yves Missi,https://www.spotrac.com/nba/player/_/id/91761,yves-missi,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly,20,C,$3193200,$3353040,$3512760,$5595827,RFA
Zaccharie Risacher,https://www.spotrac.com/nba/player/_/id/91733,zaccharie-risacher,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,19,SF,$12569040,$13197720,$13826040,$17434637,RFA
Zach Collins,https://www.spotrac.com/nba/player/_/id/23605,zach-collins,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly,27,C,$16741200,$18080496,UFA,,
Zach Edey,https://www.spotrac.com/nba/player/_/id/91755,zach-edey,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,22,C,$5756880,$6045000,$6332760,$8067937,RFA
Zach LaVine,https://www.spotrac.com/nba/player/_/id/15365,zach-lavine,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,29,SG,$43031940,$45999660,$48967380,UFA,
Zeke Nnaji,https://www.spotrac.com/nba/player/_/id/70664,zeke-nnaji,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,24,PF,$8888889,$8177778,$7466667,$7466667,UFA
Ziaire Williams,https://www.spotrac.com/nba/player/_/id/74117,ziaire-williams,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly,23,SF,$6133005,RFA,,,
Zion Williamson,https://www.spotrac.com/nba/player/_/id/31558,zion-williamson,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly,24,PF,$36725670,$39446090,$42166510,$44886930,UFA
