Player,Player Link,Position,Age,2024-25,2025-26,2026-27,2027-28,2028-29,Player Key,Team,Team Link
Dalton Knecht,https://www.spotrac.com/nba/player/_/id/91749,SF,23,$3819120,$4010160,$4201080,$6452860,RFA,dalton-knecht,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Damian Lillard,https://www.spotrac.com/nba/player/_/id/10814,PG,34,$48787676,$54126380,$58456490,UFA,,damian-lillard,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Damion Lee,https://www.spotrac.com/nba/player/_/id/21063,SG,32,$2087519,UFA,,,,damion-lee,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
D'Angelo Russell,https://www.spotrac.com/nba/player/_/id/17830,PG,28,$18692307,UFA,,,,dangelo-russell,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Daniel Gafford,https://www.spotrac.com/nba/player/_/id/31597,C,26,$13394160,$14386320,UFA,,,daniel-gafford,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Daniel Theis,https://www.spotrac.com/nba/player/_/id/23828,C,32,$2087519,UFA,,,,daniel-theis,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Daniss Jenkins,https://www.spotrac.com/nba/player/_/id/94498,G,23,Two-Way,RFA,,,,daniss-jenkins,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Dante Exum,https://www.spotrac.com/nba/player/_/id/15357,PG,29,$3150000,UFA,,,,dante-exum,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
DaQuan Jeffries,https://www.spotrac.com/nba/player/_/id/32680,SG,27,$2425404,$2743776,$3080918,UFA,,daquan-jeffries,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Dario Saric,https://www.spotrac.com/nba/player/_/id/15364,PF,30,$5168000,$5426400,UFA,,,dario-saric,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Dariq Whitehead,https://www.spotrac.com/nba/player/_/id/82273,SG,20,$3114240,$3262560,$5366912,RFA,,dariq-whitehead,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Darius Garland,https://www.spotrac.com/nba/player/_/id/31562,PG,25,$36725670,$39446090,$42166510,$44886930,UFA,darius-garland,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
DaRon Holmes II,https://www.spotrac.com/nba/player/_/id/91791,PF,22,$3065640,$3218760,$3372120,$5547138,RFA,daron-holmes,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
David Duke Jr.,https://www.spotrac.com/nba/player/_/id/74239,SG,25,Two-Way,RFA,,,,david-duke,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
David Jones,https://www.spotrac.com/nba/player/_/id/95272,SF,23,Two-Way,RFA,,,,david-jones,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
David Roddy,https://www.spotrac.com/nba/player/_/id/78149,PF,23,$2847240,UFA,UFA,,,david-roddy,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Davion Mitchell,https://www.spotrac.com/nba/player/_/id/74116,PG,26,$6451077,RFA,,,,davion-mitchell,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Day'Ron Sharpe,https://www.spotrac.com/nba/player/_/id/74136,C,23,$3989122,RFA,,,,dayron-sharpe,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
De'Aaron Fox,https://www.spotrac.com/nba/player/_/id/23600,PG,27,$34848340,$37096620,UFA,,,deaaron-fox,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Dean Wade,https://www.spotrac.com/nba/player/_/id/31963,PF,28,$6166667,$6623456,UFA,,,dean-wade,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Deandre Ayton,https://www.spotrac.com/nba/player/_/id/26967,C,26,$34005126,$35550814,UFA,,,deandre-ayton,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
De'Andre Hunter,https://www.spotrac.com/nba/player/_/id/31561,SF,27,$21696429,$23303571,$24910714,UFA,,deandre-hunter,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
DeAndre Jordan,https://www.spotrac.com/nba/player/_/id/6117,C,36,$2087519,UFA,,,,deandre-jordan,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
De'Anthony Melton,https://www.spotrac.com/nba/player/_/id/27012,SG,26,$12822000,UFA,,,,deanthony-melton,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Dejounte Murray,https://www.spotrac.com/nba/player/_/id/20234,PG,28,$29517134,$31557102,$33597070,$31619503,UFA,dejounte-murray,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Delon Wright,https://www.spotrac.com/nba/player/_/id/17848,PG,32,$2087519,UFA,,,,delon-wright,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
DeMar DeRozan,https://www.spotrac.com/nba/player/_/id/6327,SF,35,$23400000,$24750000,$25740000,UFA,,demar-derozan,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Deni Avdija,https://www.spotrac.com/nba/player/_/id/70651,SF,24,$15625000,$14375000,$13125000,$11875000,UFA,deni-avdija,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Dennis Schröder,https://www.spotrac.com/nba/player/_/id/13330,PG,31,$13025250,UFA,,,,dennis-schroder,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Dereck Lively II,https://www.spotrac.com/nba/player/_/id/82272,C,20,$5014560,$5253360,$7239131,RFA,,dereck-lively,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Derrick Jones Jr.,https://www.spotrac.com/nba/player/_/id/21067,SF,27,$9523810,$10000000,$10476190,UFA,,derrick-jones,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Derrick White,https://www.spotrac.com/nba/player/_/id/23624,PG,30,$20071429,$28100000,$30348000,$32596000,$34844000,derrick-white,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Desmond Bane,https://www.spotrac.com/nba/player/_/id/70672,SG,26,$34005250,$36725670,$39446090,$42166510,$44886930,desmond-bane,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Devin Booker,https://www.spotrac.com/nba/player/_/id/17841,SG,28,$49205800,$53142264,$57078728,$61015192,UFA,devin-booker,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Devin Carter,https://www.spotrac.com/nba/player/_/id/91758,PG,22,$4689000,$4923720,$5158080,$7370897,RFA,devin-carter,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Devin Vassell,https://www.spotrac.com/nba/player/_/id/70653,SG,24,$29347826,$27000000,$27000000,$24652174,$27000000,devin-vassell,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Dillon Brooks,https://www.spotrac.com/nba/player/_/id/23646,SF,29,$22255493,$21124110,$19992727,UFA,,dillon-brooks,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Dillon Jones,https://www.spotrac.com/nba/player/_/id/91778,SF,23,$2622360,$2753280,$2884440,$5200646,RFA,dillon-jones,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
D.J. Carton,https://www.spotrac.com/nba/player/_/id/74252,PG,24,Two-Way,RFA,,,,dj-carton,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
D.J. Steward,https://www.spotrac.com/nba/player/_/id/74473,PG,23,Two-Way,RFA,,,,dj-steward,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Domantas Sabonis,https://www.spotrac.com/nba/player/_/id/20216,PF,28,$40500000,$43636000,$46772000,$49908000,UFA,domantas-sabonis,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Dominick Barlow,https://www.spotrac.com/nba/player/_/id/78565,PF,21,Two-Way,RFA,,,,dominick-barlow,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Donovan Clingan,https://www.spotrac.com/nba/player/_/id/91735,C,20,$6836400,$7178400,$7519920,$9550298,RFA,donovan-clingan,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Donovan Mitchell,https://www.spotrac.com/nba/player/_/id/23608,SG,28,$35410310,$46394100,$50105628,$53817156,UFA,donovan-mitchell,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Donte DiVincenzo,https://www.spotrac.com/nba/player/_/id/26983,SG,28,$11445000,$11990000,$12535000,UFA,,donte-divincenzo,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Dorian Finney-Smith,https://www.spotrac.com/nba/player/_/id/20757,PF,31,$14924167,$15378480,UFA,,,dorian-finney-smith,Brooklyn Nets,https://www.spotrac.com/nba/brooklyn-nets/yearly
Doug McDermott,https://www.spotrac.com/nba/player/_/id/15363,SF,33,$2087519,UFA,,,,doug-mcdermott,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Draymond Green,https://www.spotrac.com/nba/player/_/id/10860,PF,34,$24107143,$25892857,$27678571,UFA,,draymond-green,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Drew Eubanks,https://www.spotrac.com/nba/player/_/id/28052,C,28,$5000000,$4750000,UFA,,,drew-eubanks,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Drew Peterson,https://www.spotrac.com/nba/player/_/id/85837,F,25,Two-Way,RFA,,,,drew-peterson,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Dru Smith,https://www.spotrac.com/nba/player/_/id/74420,SG,27,Two-Way,RFA,,,,dru-smith,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Duncan Robinson,https://www.spotrac.com/nba/player/_/id/27658,SF,30,$19406000,$19888000,UFA,,,duncan-robinson,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Duop Reath,https://www.spotrac.com/nba/player/_/id/86051,C,28,$2048780,$2221677,RFA,,,duop-reath,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Dwight Powell,https://www.spotrac.com/nba/player/_/id/15397,C,33,$4000000,$4000000,UFA,,,dwight-powell,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Dyson Daniels,https://www.spotrac.com/nba/player/_/id/78114,PG,21,$6059520,$7707709,RFA,,,dyson-daniels,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
E.J. Liddell,https://www.spotrac.com/nba/player/_/id/78129,PF,24,Two-Way,RFA,,,,ej-liddell,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Emoni Bates,https://www.spotrac.com/nba/player/_/id/84475,SG,21,Two-Way,RFA,,,,emoni-bates,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Enrique Freeman,https://www.spotrac.com/nba/player/_/id/93958,PF,24,Two-Way,RFA,,,,enrique-freeman,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Eric Gordon,https://www.spotrac.com/nba/player/_/id/6116,SG,36,$3303771,$3468960,UFA,,,eric-gordon,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Evan Mobley,https://www.spotrac.com/nba/player/_/id/74110,PF,23,$11227657,$38661750,$41754690,$44847630,$47940570,evan-mobley,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Franz Wagner,https://www.spotrac.com/nba/player/_/id/74115,SF,23,$7007092,$38661750,$41754690,$44847630,$47940570,franz-wagner,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Fred VanVleet,https://www.spotrac.com/nba/player/_/id/20778,PG,30,$42846615,$44886930,UFA,,,fred-vanvleet,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Gabe Vincent,https://www.spotrac.com/nba/player/_/id/28087,PG,28,$11000000,$11500000,UFA,,,gabe-vincent,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Garrett Temple,https://www.spotrac.com/nba/player/_/id/6492,SG,38,$2087519,UFA,,,,garrett-temple,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Garrison Mathews,https://www.spotrac.com/nba/player/_/id/32044,SG,28,$2230253,UFA,,,,garrison-mathews,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly
Gary Harris,https://www.spotrac.com/nba/player/_/id/15371,SG,30,$7500000,$7500000,UFA,,,gary-harris,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Gary Payton II,https://www.spotrac.com/nba/player/_/id/20272,PG,32,$9130000,UFA,,,,gary-payton,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Gary Trent Jr.,https://www.spotrac.com/nba/player/_/id/27003,SG,26,$2087519,UFA,,,,gary-trent,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Georges Niang,https://www.spotrac.com/nba/player/_/id/20256,PF,31,$8500000,$8200000,UFA,,,georges-niang,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
G.G. Jackson,https://www.spotrac.com/nba/player/_/id/85972,PF,20,$1891857,$2221677,$2406205,UFA,,gg-jackson,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Giannis Antetokounmpo,https://www.spotrac.com/nba/player/_/id/13328,PF,30,$48787676,$54126380,$58456490,$62786601,UFA,giannis-antetokounmpo,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Goga Bitadze,https://www.spotrac.com/nba/player/_/id/31575,C,25,$9057971,$8333333,$7608696,UFA,,goga-bitadze,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Gradey Dick,https://www.spotrac.com/nba/player/_/id/82204,SG,21,$4763760,$4990560,$7131511,RFA,,gradey-dick,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Grant Williams,https://www.spotrac.com/nba/player/_/id/31579,PF,26,$13025250,$13645500,$14265750,UFA,,grant-williams,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Grayson Allen,https://www.spotrac.com/nba/player/_/id/26987,SG,29,$15625000,$16875000,$18125000,$19375000,UFA,grayson-allen,Phoenix Suns,https://www.spotrac.com/nba/phoenix-suns/yearly
Guerschon Yabusele,https://www.spotrac.com/nba/player/_/id/20221,PF,29,$2087519,RFA,,,,guerschon-yabusele,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Gui Santos,https://www.spotrac.com/nba/player/_/id/78165,SF,22,$1891857,$2221677,RFA,,,gui-santos,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Harrison Barnes,https://www.spotrac.com/nba/player/_/id/10815,PF,32,$18000000,$19000000,UFA,,,harrison-barnes,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Harrison Ingram,https://www.spotrac.com/nba/player/_/id/91775,SF,22,Two-Way,RFA,,,,harrison-ingram,San Antonio Spurs,https://www.spotrac.com/nba/san-antonio-spurs/yearly
Haywood Highsmith,https://www.spotrac.com/nba/player/_/id/28301,F,28,$5200000,$5616000,UFA,,,haywood-highsmith,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Herb Jones,https://www.spotrac.com/nba/player/_/id/74142,SF,26,$12976362,$13937574,$14898786,UFA,,herb-jones,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Hunter Tyson,https://www.spotrac.com/nba/player/_/id/84466,SF,24,$1891857,$2221677,$2406205,UFA,,hunter-tyson,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Immanuel Quickley,https://www.spotrac.com/nba/player/_/id/70667,PG,25,$32500000,$32500000,$32500000,$32500000,$32500000,immanuel-quickley,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
Isaac Jones,https://www.spotrac.com/nba/player/_/id/94481,C,24,Two-Way,RFA,,,,isaac-jones,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Isaac Okoro,https://www.spotrac.com/nba/player/_/id/70647,SG,24,$10185186,$11000000,$11814814,UFA,,isaac-okoro,Cleveland Cavaliers,https://www.spotrac.com/nba/cleveland-cavaliers/yearly
Isaiah Collier,https://www.spotrac.com/nba/player/_/id/91753,PG,20,$2512680,$2638200,$2763960,$4988948,RFA,isaiah-collier,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly
Isaiah Crawford,https://www.spotrac.com/nba/player/_/id/94482,G,23,Two-Way,RFA,,,,isaiah-crawford,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Isaiah Hartenstein,https://www.spotrac.com/nba/player/_/id/23644,C,26,$30000000,$28500000,$28500000,UFA,,isaiah-hartenstein,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Isaiah Jackson,https://www.spotrac.com/nba/player/_/id/74129,PF,23,$4435381,RFA,,,,isaiah-jackson,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Isaiah Joe,https://www.spotrac.com/nba/player/_/id/70691,SG,25,$12991650,$12362338,$11323006,$11323006,UFA,isaiah-joe,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Isaiah Stewart,https://www.spotrac.com/nba/player/_/id/70658,C,23,$15000000,$15000000,$15000000,$15000000,UFA,isaiah-stewart,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Isaiah Wong,https://www.spotrac.com/nba/player/_/id/84481,PG,24,Two-Way,RFA,,,,isaiah-wong,Charlotte Hornets,https://www.spotrac.com/nba/charlotte-hornets/yearly
Ivica Zubac,https://www.spotrac.com/nba/player/_/id/20238,C,27,$11743210,$18102000,$19550160,$20998320,UFA,ivica-zubac,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Ja Morant,https://www.spotrac.com/nba/player/_/id/31559,PG,25,$36725670,$39446090,$42166510,$44886930,UFA,ja-morant,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Jabari Smith Jr.,https://www.spotrac.com/nba/player/_/id/78109,PF,21,$9770880,$12350392,RFA,,,jabari-smith,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jabari Walker,https://www.spotrac.com/nba/player/_/id/78167,SF,22,$2019699,RFA,,,,jabari-walker,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Jack McVeigh,https://www.spotrac.com/nba/player/_/id/95281,F,28,Two-Way,RFA,,,,jack-mcveigh,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jacob Toppin,https://www.spotrac.com/nba/player/_/id/84769,SF,24,Two-Way,RFA,,,,jacob-toppin,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
Jaden Hardy,https://www.spotrac.com/nba/player/_/id/78130,SG,22,$2019699,$6000000,$6000000,$6000000,UFA,jaden-hardy,Dallas Mavericks,https://www.spotrac.com/nba/dallas-mavericks/yearly
Jaden Ivey,https://www.spotrac.com/nba/player/_/id/78111,SG,22,$7977240,$10107163,RFA,,,jaden-ivey,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Jaden McDaniels,https://www.spotrac.com/nba/player/_/id/70670,PF,24,$23017242,$24858621,$26700000,$28541379,$30382758,jaden-mcdaniels,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Jaden Springer,https://www.spotrac.com/nba/player/_/id/74135,PG,22,$4018363,RFA,,,,jaden-springer,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Jae Crowder,https://www.spotrac.com/nba/player/_/id/10859,SF,34,$1655619,UFA,,,,jae-crowder,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Jae’Sean Tate,https://www.spotrac.com/nba/player/_/id/70758,SF,29,$7565217,UFA,,,,jaesean-tate,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Jaime Jaquez Jr.,https://www.spotrac.com/nba/player/_/id/82323,SF,23,$3685800,$3861600,$5939141,RFA,,jaime-jaquez,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Jake LaRavia,https://www.spotrac.com/nba/player/_/id/78141,PF,23,$3352680,UFA,,,,jake-laravia,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly
Jakob Poeltl,https://www.spotrac.com/nba/player/_/id/20214,C,29,$19500000,$19500000,$19500000,UFA,,jakob-poeltl,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly
